Easting,Northing,Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category
97355,74373,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,110.9,1887,Poorly Drained
182542,117477,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,174.3,1302,Well Drained
101302,235488,Peat,Peat soils,83.1,1487,Peat
277901,284816,Fine loamy,Surface-water Gley: Poorly drained mineral soil,87.7,923,Well Drained
321554,308607,Fine loamy,Brown Earth: Well drained mineral soils,16.5,933,Well Drained
132442,140638,Fine loamy,Luvisol: Well drained mineral soils,45.2,1069,Well Drained
194264,79430,Fine loamy,Brown Earth: Well drained mineral soils,63.6,1179,Well Drained
256264,329535,Coarse loamy,Brown Earth: Well drained mineral soils,55.5,1008,Well Drained
76611,251636,Peat,Peat soils,166,2184,Peat
87824,236083,Peat,Peat soils,26.8,1525,Poorly Drained
81892,325967,Peat,Peat soils,23.8,1515,Peat
214127,256705,Peat,Peat soils,43.5,929,Poorly Drained
112412,42080,Peat,Peat soils,36,1558,Peat
192361,101771,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,225.7,1320,Poorly Drained
97069,52456,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,31.6,1583,Well Drained
226642,403883,Loamy,Brown Podzolic: Well drained acid mineral soil,79,1173,Well Drained
243170,255064,Peat,Peat soils,94.5,973,Well Drained
189555,244809,Fine loamy,Luvisol: Well drained mineral soils,77.3,997,Well Drained
267674,210765,Peat,Peat soils,72.4,840,Peat
245841,277903,Fine loamy,Luvisol: Well drained mineral soils,86.7,969,Well Drained
260010,215492,All,Lake alluvium,57.9,829,Poorly Drained
148960,155615,All,River alluvium,-2.7,968,AlluvMIN
190040,272170,Peat,Peat soils,49.4,1094,Peat
128507,211893,Fine loamy,Brown Earth: Well drained mineral soils,25.7,1215,Well Drained
168102,253051,Peat,Peat soils,76,1122,Peat
172484,170924,Fine loamy,Surface-water Gley: Poorly drained mineral soil,50.6,1153,Poorly Drained
263452,211831,Peat,Peat soils,63.3,830,Poorly Drained
75527,115437,Coarse loamy,Brown Earth: Well drained mineral soils,31.6,1286,Well Drained
76022,104828,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,112,1946,Poorly Drained
144593,307521,Peat,Peat soils,47.6,1268,Peat
218280,208982,Fine loamy,Luvisol: Well drained mineral soils,88.9,828,Well Drained
66364,55827,Peat,Peat soils,33,1533,Well Drained
203942,102904,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,129.5,1352,Well Drained
198464,434090,Peat,Peat soils,58,1215,Peat
297545,259982,Fine loamy,Surface-water Gley: Poorly drained mineral soil,94.7,871,Poorly Drained
266002,330505,Fine loamy,Brown Earth: Well drained mineral soils,120,1053,Poorly Drained
266288,333352,Fine loamy,Brown Earth: Well drained mineral soils,60.6,1007,Poorly Drained
219058,310459,Fine loamy,Surface-water Gley: Poorly drained mineral soil,50.3,1184,Poorly Drained
163931,278542,Fine loamy,Luvisol: Well drained mineral soils,86.4,1219,Poorly Drained
193611,372389,All,River alluvium,42.5,1380,AlluvMIN
150144,278313,Fine loamy,Brown Earth: Well drained mineral soils,83.4,1252,Well Drained
247274,184734,Fine loamy,Luvisol: Well drained mineral soils,174.8,998,Well Drained
306068,216494,Peat,Peat soils,334,1378,Peat
213248,266695,Peat,Peat soils,63.3,997,Peat
209269,180474,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,153.4,1134,Well Drained
184816,306609,Fine loamy,Surface-water Gley: Poorly drained mineral soil,55.992115,1176,Poorly Drained
207046,376784,Peat,Peat soils,140.37466,1946,Peat
195120,236765,Peat,Peat soils,68.5,971,Peat
146083,52788,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,95.5,1359,Well Drained
257160,341660,Fine loamy,Surface-water Gley: Poorly drained mineral soil,215,1419,Poorly Drained
102038,307891,Peat,Peat soils,393.3,2273,Poorly Drained
276882,202824,Fine loamy,Groundwater Gley: Poorly drained mineral soil,78.3,858,Poorly Drained
202260,395705,Loamy,Brown Podzolic: Well drained acid mineral soil,100,1874,Poorly Drained
188919,138858,Fine loamy,Luvisol: Well drained mineral soils,111.7,1072,Well Drained
195575,66705,Coarse loamy,Brown Earth: Well drained mineral soils,11.1,1038,Poorly Drained
304746,242801,Fine loamy,Luvisol: Well drained mineral soils,68.5,817,Well Drained
108519,173001,Fine loamy,Surface-water Gley: Poorly drained mineral soil,63,1347,Peat
207179,414816,Peat,Peat soils,147,1661,Well Drained
213111,254150,All,River alluvium,37.1,919,AlluvMIN
230578,188500,Fine loamy,Luvisol: Well drained mineral soils,107.1,955,Poorly Drained
147371,269585,Peat,Peat soils,63.7,1215,Peat
148465,83227,Fine loamy,Surface-water Gley: Poorly drained mineral soil,186.6,1406,Well Drained
206183,172173,Fine loamy,Surface-water Gley: Poorly drained mineral soil,164.2,1154,Poorly Drained
283038,122559,Fine loamy,Brown Earth: Well drained mineral soils,74.4,1039,Well Drained
241571,250041,Peat,Peat soils,82.7,1011,Peat
136795,304323,Coarse loamy,Brown Earth: Well drained mineral soils,48.5,1305,Poorly Drained
286757,298360,Fine loamy,Luvisol: Well drained mineral soils,40,829,Well Drained
218632,300370,Fine loamy,Surface-water Gley: Poorly drained mineral soil,99.2,1131,Poorly Drained
255270,160579,Fine loamy,Luvisol: Well drained mineral soils,87.9,916,Poorly Drained
108085,306732,Loamy,Podzols: Well drained acid mineral soil,127.6,1790,Poorly Drained
216853,227103,Fine loamy,Luvisol: Well drained mineral soils,54.8,879,Well Drained
110386,299478,Peat,Peat soils,330.8,1772,Poorly Drained
238721,310649,Fine loamy,Luvisol: Well drained mineral soils,50.3,1001,Poorly Drained
256593,150276,Fine loamy,Luvisol: Well drained mineral soils,63.3,828,Well Drained
179664,68797,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,79.3,1054,Well Drained
157062,270641,Fine loamy,Surface-water Gley: Poorly drained mineral soil,90.6,1194,Well Drained
221682,138123,Fine loamy,Luvisol: Well drained mineral soils,95.7,859,Well Drained
104906,231002,Peat,Peat soils,96.3,1516,Peat
272376,311958,Fine loamy,Brown Earth: Well drained mineral soils,139.4,1019,Poorly Drained
100949,237419,Peat,Lithosols: Stony mineral soils often overlying bedrock,136.9,1561,Poorly Drained
136303,123733,Clayey,Surface-water Gley: Poorly drained mineral soil,88.9,964,Poorly Drained
312149,108074,Coarse loamy,Brown Earth: Well drained mineral soils,13,851,Well Drained
285381,125111,Fine loamy,Brown Earth: Well drained mineral soils,62.8,1056,Well Drained
216485,444306,Peat,Lithosols: Stony mineral soils often overlying bedrock,13,1129,Well Drained
302232,212907,Peat,Lithosols: Stony mineral soils often overlying bedrock,265.7,1083,Poorly Drained
83181,303265,Peat,Peat soils,23.1,1737,Peat
236321,169446,Fine loamy,Luvisol: Well drained mineral soils,160.7,971,Poorly Drained
158514,59504,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,51,1229,Poorly Drained
264398,196966,Fine loamy,Luvisol: Well drained mineral soils,63,803,Well Drained
192154,105610,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,126.7,1455,Well Drained
181415,69271,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,63.7,1055,Well Drained
246117,142415,Fine loamy,Luvisol: Well drained mineral soils,60.7,903,Well Drained
117961,260561,Fine loamy,Brown Earth: Well drained mineral soils,36,1357,Well Drained
255166,104813,Fine loamy,Brown Earth: Well drained mineral soils,61,1087,Poorly Drained
297465,183234,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,182.6,1003,Well Drained
157922,327154,Peat,Peat soils,218.8,1720,Poorly Drained
200741,224779,Fine loamy,Luvisol: Well drained mineral soils,46.6,914,Well Drained
279964,326118,Fine loamy,Brown Earth: Well drained mineral soils,129.4,1025,Poorly Drained
166211,152994,Fine loamy,Luvisol: Well drained mineral soils,29.7,979,Well Drained
116315,156142,Fine loamy,Surface-water Gley: Poorly drained mineral soil,19.5,1170,Poorly Drained
137508,259427,Fine loamy,Brown Earth: Well drained mineral soils,41.4,1171,Well Drained
221484,129026,Fine loamy,Luvisol: Well drained mineral soils,63.9,1082,Well Drained
206423,228322,Peat,Peat soils,38.1,898,Peat
190015,334231,Peat,Peat soils,188.4,1588,Peat
123685,306894,Coarse loamy,Brown Earth: Well drained mineral soils,62.5,1234,Poorly Drained
33096,104761,Coarse loamy,Brown Earth: Well drained mineral soils,13.2,1455,Well Drained
272841,142831,Coarse loamy,Brown Earth: Well drained mineral soils,59,1101,Poorly Drained
285002,134449,Fine loamy,Groundwater Gley: Poorly drained mineral soil,104.7,1188,Poorly Drained
248446,148340,Fine loamy,Luvisol: Well drained mineral soils,65.1,915,Poorly Drained
162516,263223,Peat,Peat soils,89.3,1069,Poorly Drained
264367,312472,Fine loamy,Brown Earth: Well drained mineral soils,128,1025,Well Drained
118174,236053,Fine loamy,Brown Earth: Well drained mineral soils,50.9,1466,Well Drained
144581,131647,Fine loamy,Surface-water Gley: Poorly drained mineral soil,189.9,1076,Poorly Drained
201517,197816,Fine loamy,Luvisol: Well drained mineral soils,133.7,957,Well Drained
194396,72107,Coarse loamy,Brown Earth: Well drained mineral soils,13.9,1062,Poorly Drained
310916,162320,Fine loamy,Brown Earth: Well drained mineral soils,132.3,1127,Well Drained
250577,441983,Peat,Peat soils,213.7,1517,Peat
304962,292637,Fine loamy,Brown Earth: Well drained mineral soils,11.5,787,Well Drained
254065,438207,Peat,Peat soils,201,1429,Peat
112720,335012,Coarse loamy,Brown Earth: Well drained mineral soils,113.9,1434,Poorly Drained
279131,143412,Peat,Lithosols: Stony mineral soils often overlying bedrock,331.3,1094,Poorly Drained
96924,313291,Peat,Peat soils,131,1807,Peat
201095,105426,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,272.1,1564,Poorly Drained
195746,176554,Peat,Peat soils,99.6,1034,Peat
127877,77528,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,198.1,1629,Well Drained
187662,404259,Peat,Peat soils,282.5,1816,Peat
244616,212792,Peat,Peat soils,75.3,863,Peat
218331,117575,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,188.5,1121,Well Drained
90849,144275,Fine loamy,Surface-water Gley: Poorly drained mineral soil,108.1,1206,Poorly Drained
174117,65024,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,44,1122,Well Drained
210963,313121,Fine loamy,Surface-water Gley: Poorly drained mineral soil,65,1286,Well Drained
238006,296836,Fine loamy,Surface-water Gley: Poorly drained mineral soil,96.6,1073,Poorly Drained
150408,55479,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,22.7,1317,Well Drained
156023,68908,Coarse loamy,Brown Earth: Well drained mineral soils,35.2,1160,Well Drained
108224,42960,Peat,Lithosols: Stony mineral soils often overlying bedrock,99.6,1657,Well Drained
262873,294516,Fine loamy,Brown Earth: Well drained mineral soils,125.2,1039,Well Drained
193871,82006,Fine loamy,Surface-water Gley: Poorly drained mineral soil,131,1275,Well Drained
133958,88193,Peat,Peat soils,285,1659,Well Drained
117468,162241,Fine loamy,Surface-water Gley: Poorly drained mineral soil,50.6,1300,Poorly Drained
252439,299307,Fine loamy,Surface-water Gley: Poorly drained mineral soil,191.2,1162,Poorly Drained
311640,176275,Fine loamy,Brown Earth: Well drained mineral soils,111,1249,Well Drained
136092,130040,Coarse loamy,Brown Earth: Well drained mineral soils,96.2,944,Well Drained
252862,105641,Fine loamy,Brown Earth: Well drained mineral soils,56,1124,Well Drained
189981,164269,Loamy,Podzols: Well drained acid mineral soil,327,1686,Well Drained
311195,260334,Fine loamy,Luvisol: Well drained mineral soils,78,858,Poorly Drained
232202,181105,Fine loamy,Luvisol: Well drained mineral soils,138,898,Well Drained
202138,81947,Fine loamy,Brown Earth: Well drained mineral soils,93.8,1229,Well Drained
59529,75253,Peat,Peat soils,52,2080,Poorly Drained
195416,341462,Clayey,Surface-water Gley: Poorly drained mineral soil,198,1513,Poorly Drained
91366,69555,Coarse loamy,Surface-water Gley: Poorly drained mineral soil,48.7,1844,Poorly Drained
321615,256420,Fine loamy,Luvisol: Well drained mineral soils,45.2,746,Well Drained
298424,117759,Fine loamy,Surface-water Gley: Poorly drained mineral soil,137.8,1214,Poorly Drained
242090,293869,All,River alluvium,87.1,1066,AlluvMIN
293449,226328,Fine loamy,Surface-water Gley: Poorly drained mineral soil,67.6,779,Poorly Drained
209437,250442,Fine loamy,Luvisol: Well drained mineral soils,48.3,907,Well Drained
203092,145193,Fine loamy,Luvisol: Well drained mineral soils,83.2,957,Well Drained
195442,404311,Peat,Peat soils,157.7,1875,Poorly Drained
184838,169098,Peat,Peat soils,373.5,1475,Peat
108914,307414,Loamy,Podzols: Well drained acid mineral soil,293.8,1871,Poorly Drained
147970,46851,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,44.1,1341,Well Drained
153139,126265,Clayey,Surface-water Gley: Poorly drained mineral soil,60.3,875,Poorly Drained
180563,305921,Fine loamy,Surface-water Gley: Poorly drained mineral soil,200.3,1274,Poorly Drained
205748,313722,Peat,Peat soils,91.7,1346,Peat
247051,117751,Fine loamy,Luvisol: Well drained mineral soils,16.8,1111,Well Drained
251632,136835,Fine loamy,Luvisol: Well drained mineral soils,60.7,987,Poorly Drained
206095,302813,Fine loamy,Surface-water Gley: Poorly drained mineral soil,60.8,1144,Poorly Drained
272057,344643,Fine loamy,Brown Earth: Well drained mineral soils,38.5,903,Poorly Drained
175827,416326,Peat,Peat soils,21,1313,Peat
209936,117997,Fine loamy,Luvisol: Well drained mineral soils,61.3,981,Poorly Drained
283337,261392,Fine loamy,Luvisol: Well drained mineral soils,57.3,842,Well Drained
175503,295145,Peat,Peat soils,77.4,1169,Peat
107847,39991,Peat,Peat soils,42.5,1564,Peat
143139,250839,Fine loamy,Brown Earth: Well drained mineral soils,33.3,1114,Poorly Drained
221294,263805,Fine loamy,Luvisol: Well drained mineral soils,110.4,1034,Well Drained
111176,338763,Peat,Peat soils,18,1341,Peat
129926,72493,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,118.5,1365,Well Drained
247465,219170,Fine loamy,Luvisol: Well drained mineral soils,82.2,887,Well Drained
71468,49725,Peat,Peat soils,350,2301,Poorly Drained
190629,227335,Peat,Peat soils,39.9,938,Peat
279719,141065,Peat,Lithosols: Stony mineral soils often overlying bedrock,339,1106,Poorly Drained
258394,152682,Fine loamy,Luvisol: Well drained mineral soils,67.3,784,Poorly Drained
109932,44124,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,57,1620,Well Drained
244055,105251,Fine loamy,Brown Earth: Well drained mineral soils,109.3,1141,Well Drained
151281,154794,Fine loamy,Luvisol: Well drained mineral soils,13.6,974,Well Drained
172877,177138,Fine loamy,Brown Earth: Well drained mineral soils,226.7,1313,Well Drained
219284,115528,Coarse loamy,Surface-water Gley: Poorly drained mineral soil,181.2,1203,Poorly Drained
129405,292005,Peat,Peat soils,157.4,1329,Poorly Drained
175496,110946,Fine loamy,Luvisol: Well drained mineral soils,80.4,1063,Well Drained
182048,388558,Peat,Peat soils,166.4,1870,Peat
200383,149043,Fine loamy,Luvisol: Well drained mineral soils,93,1113,Poorly Drained
120567,265555,Fine loamy,Brown Earth: Well drained mineral soils,28.2,1312,Well Drained
271103,124648,Fine loamy,Brown Earth: Well drained mineral soils,88.1,1077,Well Drained
242500,277040,Peat,Peat soils,66.6,971,Peat
185013,137499,Fine loamy,Luvisol: Well drained mineral soils,108.3,1108,Well Drained
105354,227999,Peat,Peat soils,102,1485,Peat
216864,261775,Fine loamy,Luvisol: Well drained mineral soils,89.5,992,Well Drained
161937,235834,Coarse loamy,Brown Earth: Well drained mineral soils,112.9,1163,Well Drained
91967,137506,Coarse loamy,Brown Earth: Well drained mineral soils,13,1143,Poorly Drained
152392,265332,Coarse loamy,Brown Earth: Well drained mineral soils,68.9,1165,Well Drained
285985,215435,Fine loamy,Surface-water Gley: Poorly drained mineral soil,93.6,890,Poorly Drained
108276,161610,Peat,Peat soils,34.6,1257,Well Drained
202606,139988,Fine loamy,Luvisol: Well drained mineral soils,77.7,994,Well Drained
163501,77769,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,99,1160,Well Drained
197525,193035,Fine loamy,Luvisol: Well drained mineral soils,82.7,940,Well Drained
228362,315274,Fine loamy,Surface-water Gley: Poorly drained mineral soil,63.1,1076,Poorly Drained
242729,112171,Fine loamy,Brown Earth: Well drained mineral soils,116.6,1197,Well Drained
169988,258745,Peat,Peat soils,84.5,1110,Peat
177883,218977,Fine loamy,Groundwater Gley: Poorly drained mineral soil,71.9,1057,Poorly Drained
296726,150294,Fine loamy,Brown Earth: Well drained mineral soils,33.9,1020,Well Drained
291245,154735,Fine loamy,Brown Earth: Well drained mineral soils,76.1,1196,Well Drained
168152,284093,Peat,Peat soils,96.5,1226,Peat
286025,111743,Fine loamy,Brown Earth: Well drained mineral soils,40.3,959,Well Drained
278996,256500,Fine loamy,Luvisol: Well drained mineral soils,58.9,839,Well Drained
212338,173472,Fine loamy,Luvisol: Well drained mineral soils,114.8,1085,Well Drained
210667,263125,Peat,Peat soils,57,972,Peat
250540,244192,Peat,Peat soils,84.6,946,Peat
276625,312640,Fine loamy,Brown Earth: Well drained mineral soils,145.8,1089,Well Drained
182229,166765,Peat,Peat soils,677.8,1837,Peat
189190,382978,Peat,Peat soils,81,1799,Peat
235224,291496,Fine loamy,Surface-water Gley: Poorly drained mineral soil,64.2,1044,Poorly Drained
71281,295692,Peat,Peat soils,190,1629,Poorly Drained
262862,169670,Fine loamy,Surface-water Gley: Poorly drained mineral soil,234.1,1147,Poorly Drained
203861,409158,All,River alluvium,119,1782,AlluvMIN
139139,92850,Fine loamy,Surface-water Gley: Poorly drained mineral soil,192,1363,Well Drained
229103,208837,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,287.5,1246,Poorly Drained
261740,166940,Fine loamy,Surface-water Gley: Poorly drained mineral soil,268.1,1148,Well Drained
175926,271069,Fine loamy,Luvisol: Well drained mineral soils,115.3,1087,Well Drained
222691,239552,Fine loamy,Luvisol: Well drained mineral soils,85.8,945,Well Drained
311408,134275,Sandy,Brown Podzolic: Well drained acid mineral soil,35,986,Well Drained
89573,79008,Peat,Peat soils,387.7,2605,Peat
110629,51580,Peat,Peat soils,335,2018,Poorly Drained
207778,276117,Peat,Peat soils,44.5,965,Peat
55135,79794,Peat,Peat soils,86,2100,Peat
264328,268885,Fine loamy,Luvisol: Well drained mineral soils,95.4,971,Well Drained
189042,194150,Peat,Peat soils,43.9,928,Peat
144754,312169,Peat,Peat soils,58.4,1378,Peat
213266,173770,Peat,Peat soils,109.5,1075,Peat
100649,153069,All,Marine alluvium,27.1,1113,AlluvMIN
261235,166857,Fine loamy,Surface-water Gley: Poorly drained mineral soil,249.4,1138,Poorly Drained
239393,443616,Peat,Peat soils,104,1437,Poorly Drained
275332,124286,Fine loamy,Brown Earth: Well drained mineral soils,177,1105,Well Drained
177773,104315,Coarse loamy,Brown Earth: Well drained mineral soils,63.4,1041,Well Drained
242797,155393,Fine loamy,Surface-water Gley: Poorly drained mineral soil,182.1,1009,Well Drained
118588,119643,Fine loamy,Surface-water Gley: Poorly drained mineral soil,171,1451,Poorly Drained
282341,237303,Fine loamy,Luvisol: Well drained mineral soils,94.5,850,Well Drained
145246,187775,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,188.9,1330,Well Drained
230257,413814,Loamy,Brown Podzolic: Well drained acid mineral soil,88.1,1082,Well Drained
173000,52551,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,41,1058,Well Drained
266008,115548,Fine loamy,Brown Earth: Well drained mineral soils,85.7,1043,Well Drained
280156,326561,Fine loamy,Brown Earth: Well drained mineral soils,135.6,1037,Poorly Drained
70500,302893,Peat,Peat soils,27,1457,Poorly Drained
82012,120546,Fine loamy,Surface-water Gley: Poorly drained mineral soil,52.3,1198,Poorly Drained
286492,200475,Fine loamy,Brown Earth: Well drained mineral soils,180.8,1072,Well Drained
305489,130475,Sandy,Brown Podzolic: Well drained acid mineral soil,51,980,Well Drained
166993,261514,Peat,Peat soils,95.6,1089,Peat
165453,306245,Peat,Peat soils,71.9,1174,Well Drained
96903,241581,Peat,Peat soils,27.3,1702,Peat
106553,55522,Peat,Peat soils,245.8,1820,Poorly Drained
88094,269186,Loamy,Podzols: Well drained acid mineral soil,325,2621,Well Drained
234566,133169,Loamy,Podzols: Well drained acid mineral soil,173.7,1168,Well Drained
137858,232691,Fine loamy,Brown Earth: Well drained mineral soils,9.7,1150,Well Drained
271573,258892,Peat,Peat soils,65.4,859,Poorly Drained
151868,61345,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,168.1,1316,Well Drained
73075,109248,Loamy,Podzols: Well drained acid mineral soil,530,2246,Poorly Drained
287627,123817,Fine loamy,Brown Earth: Well drained mineral soils,61.8,1032,Well Drained
305839,221950,Fine loamy,Brown Podzolic: Well drained acid mineral soil,301,1186,Poorly Drained
220019,186518,Peat,Peat soils,117.8,1001,Poorly Drained
111609,161014,Peat,Peat soils,51.8,1263,Peat
227237,137235,Fine loamy,Brown Earth: Well drained mineral soils,85,899,Well Drained
244777,187890,All,River alluvium,104.8,898,AlluvMIN
194749,275139,Fine loamy,Surface-water Gley: Poorly drained mineral soil,132.9,1082,Poorly Drained
167561,261905,Peat,Peat soils,102.4,1099,Peat
153112,277922,Fine loamy,Brown Earth: Well drained mineral soils,113,1262,Poorly Drained
295339,222659,Fine loamy,Surface-water Gley: Poorly drained mineral soil,123.9,860,Well Drained
287802,257480,Fine loamy,Luvisol: Well drained mineral soils,61.2,832,Well Drained
143038,55434,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,46,1344,Well Drained
135599,153198,Fine loamy,Luvisol: Well drained mineral soils,15.1,978,Well Drained
210150,408629,Loamy,Brown Podzolic: Well drained acid mineral soil,167,1627,Poorly Drained
177630,352292,Peat,Peat soils,41.1,1382,Well Drained
164633,95883,Loamy,Podzols: Well drained acid mineral soil,299,1387,Well Drained
115366,177938,Peat,Peat soils,236.1,1832,Peat
227643,422368,Loamy,Brown Podzolic: Well drained acid mineral soil,25.5,1038,Poorly Drained
96887,146187,Fine loamy,Surface-water Gley: Poorly drained mineral soil,33,1174,Poorly Drained
310210,219145,Peat,Lithosols: Stony mineral soils often overlying bedrock,399.3,1566,Poorly Drained
248366,130821,Fine loamy,Luvisol: Well drained mineral soils,227.6,1271,Well Drained
78768,27960,Coarse loamy,Brown Earth: Well drained mineral soils,77.8,1345,Well Drained
250482,185361,Loamy,Surface-water Gley: Poorly drained mineral soil,151.9,1031,Poorly Drained
199205,104687,Loamy,Podzols: Well drained acid mineral soil,275.5,1585,Poorly Drained
170949,355272,Peat,Peat soils,2.9,1049,Peat
308198,175040,Fine loamy,Brown Earth: Well drained mineral soils,104,1122,Well Drained
279634,235402,Peat,Peat soils,77.1,849,Peat
196454,278052,Fine loamy,Surface-water Gley: Poorly drained mineral soil,111.6,1069,Poorly Drained
331274,188516,Fine loamy,Brown Earth: Well drained mineral soils,30,919,Poorly Drained
207768,157861,Fine loamy,Luvisol: Well drained mineral soils,84.3,966,Well Drained
268103,132150,Fine loamy,Brown Earth: Well drained mineral soils,40.4,1031,Poorly Drained
280982,254819,Fine loamy,Luvisol: Well drained mineral soils,61.8,829,Well Drained
232989,302386,Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.9,1074,Poorly Drained
178627,229824,Peat,Peat soils,66.5,1053,Peat
139367,75328,Peat,Peat soils,121.9,1291,Peat
202351,187080,Fine loamy,Luvisol: Well drained mineral soils,104.7,926,Well Drained
182294,424227,Peat,Peat soils,33,1406,Peat
246857,125195,Fine loamy,Brown Earth: Well drained mineral soils,36.7,1069,Well Drained
190111,304683,Fine loamy,Luvisol: Well drained mineral soils,59.3,1123,Well Drained
113805,169884,Peat,Peat soils,164,1496,Peat
98939,280695,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,69.9,1518,Well Drained
302212,147013,Fine loamy,Brown Earth: Well drained mineral soils,53.4,1020,Well Drained
271000,322087,All,River alluvium,87,996,AlluvMIN
233543,134069,Loamy,Podzols: Well drained acid mineral soil,204.1,1142,Well Drained
233648,228706,Fine loamy,Luvisol: Well drained mineral soils,60.1,885,Poorly Drained
100524,90652,Fine loamy,Surface-water Gley: Poorly drained mineral soil,96,1506,Well Drained
216537,320538,Clayey,Surface-water Gley: Poorly drained mineral soil,114.5,1630,Poorly Drained
207366,242539,Peat,Peat soils,47.2,910,Peat
267718,263569,All,River alluvium,79.6,893,Well Drained
224736,182581,Fine loamy,Luvisol: Well drained mineral soils,123.4,982,Well Drained
297864,183213,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,178.8,1026,Well Drained
237453,423884,Loamy,Brown Podzolic: Well drained acid mineral soil,18.5,1168,Well Drained
249396,190594,Loamy,Surface-water Gley: Poorly drained mineral soil,225.2,922,Poorly Drained
135697,135571,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,120.4,992,Well Drained
211870,241181,Peat,Peat soils,66.4,920,Peat
66992,248236,Peat,Peat soils,14,1460,Peat
258578,260969,Peat,Peat soils,80,943,Poorly Drained
150084,260033,Coarse loamy,Brown Earth: Well drained mineral soils,84,1154,Well Drained
240518,316582,All,Marine alluvium,43.8,997,AlluvMIN
159693,148386,Clayey,Surface-water Gley: Poorly drained mineral soil,44.7,969,Poorly Drained
106235,110838,Peat,Peat soils,167.3,1425,Well Drained
139873,133735,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,89.5,1026,Poorly Drained
292715,200324,All,River alluvium,190,1166,AlluvMIN
257736,234160,Fine loamy,Luvisol: Well drained mineral soils,85.7,880,Well Drained
195121,138697,Fine loamy,Luvisol: Well drained mineral soils,103.2,1071,Well Drained
123629,292276,Coarse loamy,Brown Earth: Well drained mineral soils,48,1304,Poorly Drained
260080,173699,Fine loamy,Luvisol: Well drained mineral soils,242.6,1134,Poorly Drained
93324,325062,Peat,Peat soils,156.8,1658,Peat
103520,154405,Peat,Peat soils,38,1143,Peat
194415,172466,Fine loamy,Brown Earth: Well drained mineral soils,208.4,1222,Well Drained
111303,228313,Peat,Peat soils,97.2,1559,Peat
288901,200292,Fine loamy,Luvisol: Well drained mineral soils,215.8,1154,Well Drained
123670,232994,Peat,Peat soils,5.4,1339,Peat
118515,233678,Peat,Peat soils,169.8,1488,Peat
145776,281338,Peat,Peat soils,102.6,1272,Peat
256720,110423,Fine loamy,Brown Earth: Well drained mineral soils,30.9,1058,Poorly Drained
153084,271094,Fine loamy,Surface-water Gley: Poorly drained mineral soil,87.4,1210,Poorly Drained
217915,175903,Coarse loamy,Brown Earth: Well drained mineral soils,121,956,Poorly Drained
260580,252175,Fine loamy,Luvisol: Well drained mineral soils,74.5,917,Well Drained
250285,110915,Fine loamy,Brown Earth: Well drained mineral soils,45.1,1149,Poorly Drained
276277,144569,Coarse loamy,Brown Earth: Well drained mineral soils,71.5,870,Well Drained
141405,86765,Peat,Peat soils,369.6,1808,Peat
114192,317871,All,River alluvium,16.14557,1292,AlluvMIN
222888,90340,Coarse loamy,Brown Earth: Well drained mineral soils,59,1306,Well Drained
47042,103420,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,103.4,1897,Well Drained
181841,320604,Fine loamy,Luvisol: Well drained mineral soils,172.1,1418,Well Drained
97540,46320,Coarse loamy,Brown Earth: Well drained mineral soils,77.5,1591,Well Drained
138102,260603,Fine loamy,Brown Earth: Well drained mineral soils,43.4,1189,Well Drained
210729,393376,Loamy,Brown Podzolic: Well drained acid mineral soil,80,1532,Poorly Drained
184944,265191,Fine loamy,Luvisol: Well drained mineral soils,74.4,1060,Well Drained
322233,201084,Fine loamy,Brown Earth: Well drained mineral soils,220.9,1225,Well Drained
